id,title,primarycontents,secondarycontents,date,place
edanmdm-siris_arc_395100,New Hebrides Film Project: Tanna Island 1974,Archival materials,Transparencies,1970s,Oceania
edanmdm-siris_arc_398717,Chain of Life: the Aleutian Islands 1977,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398760,Children of the Long Beaked Bird 1976,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398723,Catlin and the Indians 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398706,Caribou: The Endless Journey 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398721,The Journals of Lewis and Clark 1965,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398716,Subsistence: a Way of Life is Dying 1977,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_399071,Where the River enters the Sea ca. 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398689,Do We Want Us To 1978,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398718,The Sea is Our Life 1979,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398719,The North American Indian: Part 1: Treaties Made and Broken ca. 1970s,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398694,The Eagle and the Moon 1971,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398699,The Crooked Beak of Heaven 1975,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398709,Legend of the Boy and the Eagle 1967,Archival materials,Motion pictures (visual works),1960s,North America
edanmdm-siris_arc_398701,Polar Regions: Hunters and Herders 1971,Archival materials,Motion pictures (visual works),1970s,Arctic Ocean
edanmdm-siris_arc_398702,Eskimos: a Changing Culture 1972,Archival materials,Motion pictures (visual works),1970s,North America
edanmdm-siris_arc_398710,The Navajos: Children of the Gods 1967,Archival materials,Motion pictures (visual works),1960s,North America
