id,Title,Medium,Dates,Place
edanmdm-siris_arc_386087,"Oral history interview with Frank Holliday, 2017 January 24-26",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_296471,"Oral history interview with Peter Goulds, 2008 Mar.24-July 28",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_211968,"Oral history interview with Sol LeWitt, 1974 July 15",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_387760,"Oral history interview with Patrick Moore, 2017 April 15",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_216021,"Oral history interview with Margret Craver Withers, 1983-1985",Sound Recordings,1980s,Unknown+ETC
edanmdm-siris_arc_396574,"Unveiling of Model for ""The Federal City: Plans and Realities"" Exhibition at the Smithsonian Institution Building, or Castle",Photographs,1970s,North America
edanmdm-siris_arc_389604,"Oral history interview with Rosalyn Drexler, 2017 May 17-June 2",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_215688,"Abstract expressionist art movement in America video documentation project, 1991-1992",Video Recordings,1990s,Unknown+ETC
edanmdm-siris_arc_278850,"Thread Waxing Space records, 1980s-2001, bulk 1991-2001",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_282112,"Productions, 1985-1998",Video Recordings,1990s,Unknown+ETC
edanmdm-siris_arc_237703,"Oral history interview with Edgar Anderson, 2002 September 17-19",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_256378,"Program Records, 1993-1997",Audiotapes,1990s,Unknown+ETC
edanmdm-siris_arc_282437,"Oral history interview with John Cederquist, 2009 April 14-15",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_209064,"Ben Shahn papers, 1879-1990, bulk 1933-1970",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_211466,"Vaclav Vytlacil papers, 1885-1990",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_282435,"Audrey Flack papers, 1950-2009",Video Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_212530,"Oral history interview with Victoria Barr, 1977 January 11-February 18",Sound Recordings,1970s,Unknown+ETC
edanmdm-siris_arc_391020,"Oral history interview with Cheech Marin, 2017 October 16-17",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_393832,"Oral history interview with Robert Morris, 2018 April 19-20",Sound Recordings,2010s,Unknown+ETC
edanmdm-siris_arc_227882,"Hans Hofmann papers, [circa 1904]-2011, bulk 1945-2000",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_278666,"Productions, 1984-1991, 1995-1998, 2003",Videotapes,1990s,Oceania
edanmdm-siris_arc_254936,"Oral history interview with Regina Vater, 2004 February 23-25",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_282217,"Oral history interview with Robert Longo, 2009 January 30-31",Sound Recordings,2000s,Europe
edanmdm-siris_arc_292731,"Jacques Lipchitz papers and Bruce Bassett papers relating to Jacques Lipchitz, circa 1910-2001, bulk 1941-2001",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_362118,"Oral history interview with Barbara Bloom, 2012 October 18-2013 January 31",Sound Recordings,2010s,Europe
edanmdm-siris_arc_209173,"Morris Louis and Morris Louis Estate papers, circa 1910s-2007, bulk 1965-2000",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_212717,"Oral history interview with Al Hansen, 1973 November 6-13",Sound Recordings,1970s,Unknown+ETC
edanmdm-siris_arc_370420,"Oral history interview with Allan Sekula, 2011 August 20-2012 February 14",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_283555,"Oral history interview with William Morris, 2009 July 13-14",Sound Recordings,2000s,Europe
edanmdm-siris_arc_217733,"Tropical Rainforest Exhibit Oral History Collection 1992, 1994",Audiotapes,1990s,Unknown+ETC
edanmdm-siris_arc_248017,"Oral history interview with Jesse Amado, 2004 May 31-June 7",Sound Recordings,2000s,Unknown+ETC
edanmdm-siris_arc_370445,"Cosmos Andrew Sarchiapone papers, circa 1860-2011, bulk 1940-2011",Video Recordings,1920s,North America
edanmdm-nmah_1296376,Photographic History Collection,Photographs,no date data,Unknown+ETC
edanmdm-siris_arc_213367,"Emmet family papers, 1792-1989, bulk, 1851-1989",Video Recordings,1800s,Unknown+ETC
edanmdm-siris_arc_210466,"Walter and Ise Gropius papers, 1883-1981",Sound Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_217722,The History of the Cell Sorter Videohistory Collection 1991,Videotapes,1990s,Unknown+ETC
edanmdm-siris_arc_214742,"Gregory Battcock papers, 1952-circa 1980",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_221206,"Downtown Gallery records, 1824-1974, bulk 1926-1969",Video Recordings,1920s,Unknown+ETC
edanmdm-siris_arc_217388,"Waldo LaSalle Schmitt Papers, 1907-1978",Audiotapes,1920s,Unknown+ETC
